node_id,dx,gridpoints,polygons,time_ensemble,time_all,threads
0,0.5,9801,1743,58.4787,65.079,1
0,0.3,26934,1743,58.562,74.3192,1
0,0.2,60501,1743,58.3537,90.2772,1
0,0.5,9801,1743,58.1747,67.077,1
0,0.3,26934,1743,58.9384,75.065,1
0,0.2,60501,1743,58.992,89.9305,1
0,0.5,9801,1743,59.5014,67.9615,1
0,0.3,26934,1743,59.6046,74.7371,1
0,0.2,60501,1743,59.4854,89.9999,1
0,0.5,9801,1743,58.7386,66.6768,1
0,0.3,26934,1743,58.8138,73.3422,1
0,0.2,60501,1743,58.4245,89.847,1
0,0.5,9801,1743,58.9606,66.6493,1
0,0.3,26934,1743,58.7705,73.2393,1
0,0.2,60501,1743,58.1334,90.1497,1
0,0.5,9801,1743,58.2135,67.3996,1
0,0.3,26934,1743,58.5654,73.9011,1
0,0.2,60501,1743,58.3872,90.0347,1
0,0.5,9801,1743,58.1248,66.3218,1
0,0.3,26934,1743,58.9198,73.7143,1
0,0.2,60501,1743,57.5417,89.8652,1
0,0.5,9801,1743,57.6001,65.7215,1
0,0.3,26934,1743,58.3504,74.0356,1
0,0.2,60501,1743,58.1563,89.4668,1
0,0.5,9801,1743,59.1636,67.6379,1
0,0.3,26934,1743,59.6449,74.7352,1
0,0.2,60501,1743,58.8364,89.942,1
0,0.5,9801,1743,58.6331,66.8691,1
0,0.3,26934,1743,58.1437,74.1328,1
0,0.2,60501,1743,58.1847,91.5441,1
0,0.5,9801,1743,58.773,66.7687,1
0,0.3,26934,1743,58.8983,73.5177,1
0,0.2,60501,1743,59.2944,89.829,1
0,0.5,9801,1743,58.51,66.2114,1
0,0.3,26934,1743,58.8379,74.0171,1
0,0.2,60501,1743,59.008,88.9339,1
0,0.5,9801,1743,58.2841,66.662,1
0,0.3,26934,1743,58.6456,75.0264,1
0,0.2,60501,1743,58.5032,89.4595,1
0,0.5,9801,1743,59.2104,66.5606,1
0,0.3,26934,1743,58.4216,48.2826,1
0,0.2,60501,1743,29.5193,42.835,1
0,0.5,9801,1743,28.8995,31.7651,1
0,0.3,26934,1743,29.0706,33.6501,1
0,0.2,60501,1743,28.8707,40.5645,1
0,0.5,9801,1743,28.949,30.6388,1
0,0.3,26934,1743,29.0847,33.6433,1
0,0.2,60501,1743,27.8437,40.661,1
0,0.5,9801,1743,27.8463,30.6713,1
0,0.3,26934,1743,29.8549,34.6904,1
0,0.2,60501,1743,27.8189,45.306,1
0,0.5,9801,1743,32.1109,30.6437,1
0,0.3,26934,1743,27.8177,33.6037,1
0,0.2,60501,1743,27.8255,40.5617,1
0,0.5,9801,1743,27.8211,30.6695,1
0,0.3,26934,1743,27.8198,35.5199,1
